date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,City
2018-01-01,9,6,0,3.9,2,2,97,05:21 PM,08:30 AM,09:38 AM,05:36 PM,3,4,7,4,32,68,72,1.3,1000,9,10,220,22,Huckingen
2018-01-02,7,5,0,3.9,2,2,100,06:26 PM,09:36 AM,09:38 AM,05:37 PM,3,3,6,3,27,91,79,0.1,1008,7,10,238,18,Huckingen
2018-01-03,11,8,0,2,2,2,89,07:40 PM,10:31 AM,09:38 AM,05:38 PM,4,4,8,4,48,91,71,3.3,994,11,9,246,33,Huckingen
2018-01-04,10,6,0,2,2,2,81,08:58 PM,11:15 AM,09:38 AM,05:39 PM,5,5,8,5,31,81,81,0.4,996,10,9,233,20,Huckingen
2018-01-05,9,7,0,3.9,3,3,74,10:16 PM,11:51 AM,09:38 AM,05:40 PM,4,5,8,5,27,56,78,0.3,998,9,10,229,17,Huckingen
2018-01-06,7,4,0,2,2,2,67,11:32 PM,12:20 PM,09:37 AM,05:41 PM,3,4,6,4,12,69,85,0,1008,7,10,119,8,Huckingen
2018-01-07,5,2,0,5.8,2,2,59,No moonrise,12:46 PM,09:37 AM,05:43 PM,-1,-1,3,-1,27,70,75,0.2,1024,5,9,54,19,Huckingen
2018-01-08,5,2,0,5.8,2,2,52,12:45 AM,01:09 PM,09:36 AM,05:44 PM,0,0,3,0,24,39,76,0,1024,5,10,81,16,Huckingen
2018-01-09,6,2,0,3.9,2,2,45,01:55 AM,01:32 PM,09:36 AM,05:45 PM,2,2,5,2,17,45,86,0,1013,6,10,124,10,Huckingen
2018-01-10,9,6,0,2,2,2,38,03:03 AM,01:55 PM,09:35 AM,05:47 PM,4,5,7,5,17,77,85,0,1010,9,10,160,10,Huckingen
2018-01-11,8,4,0,2,2,2,30,04:09 AM,02:20 PM,09:35 AM,05:48 PM,5,6,6,6,6,71,93,0.2,1017,8,5,154,4,Huckingen
2018-01-12,5,3,0,2,1,1,23,05:13 AM,02:48 PM,09:34 AM,05:50 PM,4,4,5,4,5,88,93,0,1026,5,7,225,3,Huckingen
2018-01-13,6,3,0,3.9,1,1,16,06:14 AM,03:21 PM,09:33 AM,05:51 PM,2,3,5,3,15,65,82,0,1025,6,7,117,9,Huckingen
2018-01-14,5,1,0,5.8,2,2,9,07:12 AM,03:59 PM,09:33 AM,05:53 PM,-1,-1,3,-1,19,31,77,0,1022,5,10,126,13,Huckingen
2018-01-15,7,2,0,2.1,1,1,1,08:05 AM,04:43 PM,09:32 AM,05:54 PM,1,1,5,1,32,67,76,1.4,1007,7,10,180,20,Huckingen
2018-01-16,7,3,0,3.9,2,2,0,08:53 AM,05:34 PM,09:31 AM,05:56 PM,1,1,5,1,32,65,76,0.2,994,7,10,253,21,Huckingen
2018-01-17,4,2,0.1,2.1,1,1,0,09:35 AM,06:30 PM,09:30 AM,05:57 PM,-1,-2,3,-2,35,87,77,2,1000,4,9,257,23,Huckingen
2018-01-18,9,3,0,2.1,2,2,6,10:10 AM,07:31 PM,09:29 AM,05:59 PM,1,1,5,1,37,92,75,0.9,999,9,8,243,25,Huckingen
2018-01-19,5,2,0.1,5.1,1,1,13,10:40 AM,08:35 PM,09:28 AM,06:00 PM,0,0,3,0,23,86,80,2.5,1008,5,9,247,15,Huckingen
2018-01-20,4,1,0,3.3,1,1,20,11:07 AM,09:41 PM,09:27 AM,06:02 PM,1,0,3,0,15,80,87,0.3,1005,4,10,200,9,Huckingen
2018-01-21,4,0,0.1,6.9,2,2,28,11:31 AM,10:48 PM,09:26 AM,06:04 PM,0,0,2,0,16,59,84,0.2,1013,4,10,248,10,Huckingen
2018-01-22,7,2,0,3.3,2,2,35,11:54 AM,11:57 PM,09:25 AM,06:05 PM,3,2,5,2,20,84,87,0.1,1010,7,9,234,13,Huckingen
2018-01-23,9,5,0,5.1,2,2,42,12:17 PM,No moonset,09:24 AM,06:07 PM,4,5,7,5,23,77,83,0.3,1021,9,9,220,14,Huckingen
2018-01-24,14,10,0,5.1,3,3,49,12:40 PM,01:08 AM,09:22 AM,06:09 PM,8,9,11,9,33,83,80,0.1,1016,14,10,207,20,Huckingen
2018-01-25,11,7,0,5.1,2,2,57,01:07 PM,02:20 AM,09:21 AM,06:10 PM,6,7,9,7,16,80,83,0.9,1013,11,8,207,10,Huckingen
2018-01-26,8,5,0,8.7,3,3,64,01:38 PM,03:35 AM,09:20 AM,06:12 PM,5,6,6,6,8,48,88,0,1019,8,10,235,5,Huckingen
2018-01-27,7,3,0,8.7,2,2,71,02:16 PM,04:51 AM,09:19 AM,06:14 PM,2,3,5,3,16,34,80,0,1030,7,9,215,10,Huckingen
2018-01-28,10,6,0,3.4,2,2,78,03:03 PM,06:05 AM,09:17 AM,06:16 PM,5,5,8,5,29,98,84,0.4,1030,10,9,238,19,Huckingen
2018-01-29,10,8,0,3.4,2,2,86,04:01 PM,07:14 AM,09:16 AM,06:17 PM,6,6,9,6,33,82,81,1,1026,10,10,251,21,Huckingen
2018-01-30,7,3,0,8.7,3,3,93,05:10 PM,08:14 AM,09:14 AM,06:19 PM,2,4,6,4,13,17,79,0,1028,7,10,231,9,Huckingen
2018-01-31,9,5,0,5.2,2,2,97,06:26 PM,09:04 AM,09:13 AM,06:21 PM,5,4,8,4,33,84,81,0.5,1008,9,9,227,21,Huckingen
2018-02-01,5,2,0,5.2,2,2,88,07:46 PM,09:45 AM,09:11 AM,06:23 PM,-1,0,3,0,24,42,74,0.5,1001,5,10,231,16,Huckingen
2018-02-02,5,2,0,6.9,1,1,81,09:06 PM,10:17 AM,09:10 AM,06:24 PM,1,0,4,0,22,76,83,0.1,1004,5,10,262,14,Huckingen
2018-02-03,5,2,0.1,6.9,1,1,73,10:22 PM,10:46 AM,09:08 AM,06:26 PM,0,1,3,1,11,73,81,0.2,1008,5,10,258,8,Huckingen
2018-02-04,2,-1,0,5.2,2,2,66,11:37 PM,11:11 AM,09:07 AM,06:28 PM,-4,-3,0,-3,15,52,73,0,1019,2,10,112,11,Huckingen
2018-02-05,3,-1,0,8.7,2,2,58,No moonrise,11:35 AM,09:05 AM,06:30 PM,-5,-3,1,-3,18,9,65,0,1026,3,10,74,13,Huckingen
2018-02-06,1,-2,0.1,3.5,1,1,51,12:47 AM,11:58 AM,09:03 AM,06:32 PM,-7,-4,0,-4,13,67,63,0.1,1017,1,10,72,10,Huckingen
2018-02-07,2,-2,0,8.7,1,1,43,01:56 AM,12:23 PM,09:01 AM,06:34 PM,-7,-3,0,-3,11,41,61,0,1017,2,10,13,8,Huckingen
2018-02-08,1,-3,0,9.4,2,2,36,03:02 AM,12:51 PM,09:00 AM,06:35 PM,-8,-1,0,-1,6,8,54,0,1020,1,10,249,4,Huckingen
2018-02-09,2,-3,0,9.8,2,2,28,04:05 AM,01:22 PM,08:58 AM,06:37 PM,-5,-4,0,-4,16,31,70,0,1015,2,10,169,11,Huckingen
2018-02-10,4,0,0.1,4.9,1,1,20,05:05 AM,01:58 PM,08:56 AM,06:39 PM,0,-2,2,-2,17,89,87,0.3,1015,4,9,205,11,Huckingen
2018-02-11,5,1,0,8.3,1,1,13,06:00 AM,02:39 PM,08:54 AM,06:41 PM,0,-1,3,-1,29,73,79,1.1,1004,5,8,223,18,Huckingen
2018-02-12,4,1,0.1,9.9,2,2,5,06:49 AM,03:28 PM,08:52 AM,06:43 PM,-2,-2,2,-2,23,45,76,0.4,1013,4,10,249,15,Huckingen
2018-02-13,5,-1,0,9.9,2,2,0,07:33 AM,04:22 PM,08:51 AM,06:45 PM,-4,-2,2,-2,21,3,66,0,1014,5,10,169,14,Huckingen
2018-02-14,5,-1,0,10,2,2,0,08:10 AM,05:22 PM,08:49 AM,06:46 PM,-6,-2,2,-2,25,23,55,0,1016,5,10,147,17,Huckingen
2018-02-15,5,2,0,6.7,1,1,0,08:43 AM,06:25 PM,08:47 AM,06:48 PM,0,0,4,0,27,83,79,0.6,1014,5,6,186,17,Huckingen
2018-02-16,7,1,0,10.1,2,2,2,09:11 AM,07:32 PM,08:45 AM,06:50 PM,0,2,4,2,14,21,78,0,1025,7,9,234,9,Huckingen
2018-02-17,6,1,0,6.7,1,1,10,09:36 AM,08:39 PM,08:43 AM,06:52 PM,-2,2,4,2,12,57,70,0,1024,6,10,102,7,Huckingen
2018-02-18,7,0,0,10.1,2,2,17,10:00 AM,09:49 PM,08:41 AM,06:54 PM,-2,1,3,1,14,11,67,0,1026,7,10,158,10,Huckingen
2018-02-19,5,0,0,8.3,1,1,25,10:22 AM,10:59 PM,08:39 AM,06:56 PM,-4,1,2,1,9,59,62,0,1021,5,10,143,6,Huckingen
2018-02-20,5,-1,0,10.2,2,2,32,10:46 AM,No moonset,08:37 AM,06:57 PM,-4,1,3,1,10,20,64,0,1019,5,10,60,7,Huckingen
2018-02-21,4,-1,0,10.2,2,2,40,11:11 AM,12:11 AM,08:35 AM,06:59 PM,-4,-2,2,-2,16,8,66,0,1024,4,10,43,11,Huckingen
2018-02-22,4,-1,0,10.7,2,2,47,11:40 AM,01:24 AM,08:33 AM,07:01 PM,-6,-3,1,-3,20,2,59,0,1024,4,10,63,15,Huckingen
2018-02-23,3,-2,0,10.7,2,2,55,12:14 PM,02:37 AM,08:31 AM,07:03 PM,-9,-4,0,-4,20,4,51,0,1022,3,10,67,15,Huckingen
2018-02-24,3,-2,0,10.8,2,2,62,12:55 PM,03:50 AM,08:29 AM,07:05 PM,-14,-5,0,-5,27,13,35,0,1025,3,10,78,19,Huckingen
2018-02-25,0,-3,0,10,2,2,70,01:47 PM,04:58 AM,08:27 AM,07:06 PM,-16,-7,-2,-7,23,29,33,0,1029,0,10,72,17,Huckingen
2018-02-26,-2,-5,0,7,1,1,77,02:48 PM,06:00 AM,08:25 AM,07:08 PM,-12,-8,-3,-8,22,59,52,0,1029,-2,10,49,16,Huckingen
2018-02-27,-1,-6,0,10.9,2,2,85,04:00 PM,06:53 AM,08:22 AM,07:10 PM,-14,-9,-4,-9,19,19,44,0,1023,-1,10,56,14,Huckingen
2018-02-28,-3,-7,0,10.9,2,2,93,05:17 PM,07:37 AM,08:20 AM,07:12 PM,-18,-12,-5,-12,24,15,38,0,1021,-3,10,90,18,Huckingen
2018-03-01,0,-7,0,11,2,2,96,06:36 PM,08:13 AM,08:18 AM,07:14 PM,-17,-10,-4,-10,31,42,36,0,1010,0,10,90,23,Huckingen
2018-03-02,1,-5,0,8.5,2,2,100,07:55 PM,08:43 AM,08:16 AM,07:15 PM,-16,-8,-2,-8,24,55,34,0,1000,1,10,93,18,Huckingen
2018-03-03,2,-3,1.1,10.1,2,2,89,09:11 PM,09:10 AM,08:14 AM,07:17 PM,-4,-5,-1,-5,18,53,81,1.3,999,2,9,109,13,Huckingen
2018-03-04,8,0,0,10.1,1,1,82,10:25 PM,09:35 AM,08:12 AM,07:19 PM,2,1,4,1,22,63,83,0.5,997,8,9,139,13,Huckingen
2018-03-05,11,3,0,10.1,3,3,74,11:37 PM,09:59 AM,08:10 AM,07:21 PM,3,5,7,5,19,33,81,0,995,11,10,164,11,Huckingen
2018-03-06,12,4,0,8.6,2,2,67,No moonrise,10:23 AM,08:07 AM,07:22 PM,4,6,8,6,13,53,80,0.3,992,12,9,210,7,Huckingen
2018-03-07,9,4,0,5.6,2,2,60,12:46 AM,10:50 AM,08:05 AM,07:24 PM,4,5,7,5,12,69,82,0,995,9,10,178,8,Huckingen
2018-03-08,9,3,0,8.6,3,3,53,01:52 AM,11:20 AM,08:03 AM,07:26 PM,2,2,6,2,28,47,76,0.7,1001,9,9,219,18,Huckingen
2018-03-09,10,2,0,7.1,2,2,45,02:54 AM,11:55 AM,08:01 AM,07:28 PM,2,4,6,4,18,47,76,0.4,1007,10,9,195,12,Huckingen
2018-03-10,15,8,0,8.7,4,4,38,03:52 AM,12:34 PM,07:59 AM,07:29 PM,8,10,11,10,19,68,82,0.5,1002,15,9,174,12,Huckingen
2018-03-11,15,9,0,8.7,4,4,31,04:44 AM,01:21 PM,07:57 AM,07:31 PM,9,10,11,10,20,46,85,0,996,15,9,158,12,Huckingen
2018-03-12,14,8,0,8.7,4,4,24,05:30 AM,02:12 PM,07:54 AM,07:33 PM,7,9,11,9,18,78,77,0.2,993,14,9,194,13,Huckingen
2018-03-13,9,5,0,5.9,2,2,16,06:09 AM,03:10 PM,07:52 AM,07:34 PM,4,4,7,4,24,100,82,0.7,1002,9,8,261,17,Huckingen
2018-03-14,11,3,0,11.6,3,3,9,06:43 AM,04:12 PM,07:50 AM,07:36 PM,2,6,7,6,12,33,73,0,1011,11,10,169,8,Huckingen
2018-03-15,12,4,0,10.2,3,3,2,07:13 AM,05:18 PM,07:48 AM,07:38 PM,1,5,8,5,23,38,62,0,1000,12,10,122,16,Huckingen
2018-03-16,8,2,0,6,2,2,0,07:39 AM,06:26 PM,07:46 AM,07:40 PM,3,4,6,4,14,99,79,0.5,1002,8,9,79,11,Huckingen
2018-03-17,2,-2,0.1,6,1,1,0,08:03 AM,07:36 PM,07:43 AM,07:41 PM,-7,-6,-1,-6,30,95,62,0.2,1007,2,9,73,23,Huckingen
2018-03-18,2,-4,0.2,7.4,1,1,5,08:26 AM,08:47 PM,07:41 AM,07:43 PM,-9,-7,-2,-7,27,68,56,0.2,1010,2,10,75,19,Huckingen
2018-03-19,3,-4,0,11.6,2,2,13,08:50 AM,10:00 PM,07:39 AM,07:45 PM,-11,-5,-1,-5,19,11,47,0,1014,3,10,62,13,Huckingen
2018-03-20,7,-2,0,11.6,2,2,20,09:15 AM,11:14 PM,07:36 AM,07:46 PM,-6,-1,2,-1,20,31,55,0,1020,7,10,124,14,Huckingen
2018-03-21,6,-2,0,10.2,2,2,27,09:43 AM,No moonset,07:34 AM,07:48 PM,-3,1,3,1,10,24,67,0,1029,6,10,243,7,Huckingen
2018-03-22,7,3,0,6.1,1,1,34,10:14 AM,12:28 AM,07:32 AM,07:50 PM,2,1,4,1,21,94,84,0.5,1017,7,9,257,14,Huckingen
2018-03-23,9,4,0,8.9,3,3,42,10:53 AM,01:42 AM,07:30 AM,07:51 PM,2,4,6,4,14,66,79,0.2,1007,9,8,221,10,Huckingen
2018-03-24,12,2,0,11.6,3,3,49,11:41 AM,02:51 AM,07:27 AM,07:53 PM,1,6,7,6,11,17,67,0,1003,12,10,126,8,Huckingen
2018-03-25,12,4,0,8.9,3,3,56,12:38 PM,03:54 AM,07:25 AM,07:55 PM,1,8,9,8,9,40,62,0,1008,12,10,195,6,Huckingen
2018-03-26,11,4,0,7.5,3,3,63,01:44 PM,04:48 AM,07:23 AM,07:56 PM,1,7,8,7,10,64,65,0.3,1015,11,10,318,8,Huckingen
2018-03-27,10,3,0,7.5,3,3,71,02:57 PM,05:34 AM,07:21 AM,07:58 PM,2,5,7,5,13,56,70,0,1012,10,10,185,10,Huckingen
2018-03-28,10,5,0,6.2,2,2,78,04:13 PM,06:11 AM,07:18 AM,07:59 PM,5,6,8,6,17,98,85,0.2,1002,10,7,231,12,Huckingen
2018-03-29,10,3,0,10.3,2,2,85,05:31 PM,06:42 AM,07:16 AM,08:01 PM,0,4,7,4,17,58,66,0.5,1006,10,10,219,12,Huckingen
2018-03-30,14,6,0,10.3,3,3,93,06:47 PM,07:10 AM,07:14 AM,08:03 PM,1,7,9,7,19,58,59,0.5,1002,14,9,144,14,Huckingen
2018-03-31,13,5,0,10.3,3,3,96,08:02 PM,07:35 AM,07:11 AM,08:04 PM,3,9,9,9,8,36,67,0.3,1000,13,10,244,6,Huckingen
2018-04-01,9,5,0,6.5,2,2,89,09:16 PM,07:59 AM,07:09 AM,08:06 PM,3,5,7,5,15,83,80,1.4,1008,9,10,274,11,Huckingen
2018-04-02,13,3,0,7.8,2,2,81,10:27 PM,08:23 AM,07:07 AM,08:08 PM,3,7,9,7,19,84,70,0,1008,13,10,171,13,Huckingen
2018-04-03,17,10,0,10.3,4,4,74,11:36 PM,08:49 AM,07:05 AM,08:09 PM,8,12,13,12,23,63,71,0.7,1002,17,9,192,16,Huckingen
2018-04-04,14,9,0,9.1,4,4,66,No moonrise,09:17 AM,07:02 AM,08:11 PM,7,10,11,10,22,45,77,0.9,1002,14,9,192,15,Huckingen
2018-04-05,9,5,0,7.8,2,2,59,12:40 AM,09:50 AM,07:00 AM,08:13 PM,3,5,8,5,25,70,72,0.3,1012,9,10,264,17,Huckingen
2018-04-06,15,3,0,11.6,3,3,51,01:42 AM,10:27 AM,06:58 AM,08:14 PM,0,7,9,7,22,20,55,0,1020,15,10,127,15,Huckingen
2018-04-07,22,9,0,11.6,5,5,44,02:36 AM,11:12 AM,06:56 AM,08:16 PM,5,14,15,14,24,23,53,0,1011,22,10,154,15,Huckingen
2018-04-08,24,12,0,11.6,5,5,36,03:25 AM,12:01 PM,06:53 AM,08:18 PM,7,18,18,18,12,21,51,0,1008,24,10,138,7,Huckingen
2018-04-09,21,13,0,11.6,5,5,28,04:07 AM,12:57 PM,06:51 AM,08:19 PM,9,17,18,17,10,35,58,0.1,1004,21,10,85,7,Huckingen
2018-04-10,21,13,0,10.4,5,5,21,04:43 AM,01:58 PM,06:49 AM,08:21 PM,9,16,17,16,9,56,65,2.4,1004,21,10,151,6,Huckingen
2018-04-11,16,11,0,9.2,3,3,13,05:14 AM,03:02 PM,06:47 AM,08:23 PM,9,13,13,13,7,69,78,0.2,1007,16,10,208,5,Huckingen
2018-04-12,19,10,0,8.1,3,3,6,05:41 AM,04:08 PM,06:44 AM,08:24 PM,10,13,14,13,12,48,75,1,1002,19,10,88,8,Huckingen
2018-04-13,15,10,0,8.1,3,3,0,06:06 AM,05:18 PM,06:42 AM,08:26 PM,8,13,13,13,9,83,72,0.2,1008,15,10,267,6,Huckingen
2018-04-14,19,10,0,10.4,3,3,0,06:29 AM,06:29 PM,06:40 AM,08:28 PM,9,14,14,14,8,45,70,0.1,1017,19,10,195,6,Huckingen
2018-04-15,20,12,0,11.6,5,5,0,06:52 AM,07:43 PM,06:38 AM,08:29 PM,9,15,16,15,9,53,67,0.7,1013,20,9,204,7,Huckingen
2018-04-16,18,12,0,11.6,4,4,1,07:16 AM,08:58 PM,06:36 AM,08:31 PM,8,15,15,15,12,35,65,0,1015,18,10,238,9,Huckingen
2018-04-17,22,10,0,11.6,5,5,9,07:43 AM,10:14 PM,06:34 AM,08:33 PM,7,16,17,16,7,20,57,0,1025,22,10,172,5,Huckingen
2018-04-18,26,13,0,11.6,5,5,17,08:14 AM,11:31 PM,06:31 AM,08:34 PM,9,21,21,21,8,3,47,0,1030,26,10,133,5,Huckingen
