date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,City
2018-01-01,8,4,0,1.9,2,2,97,04:58 PM,08:28 AM,09:38 AM,05:12 PM,4,3,7,3,31,81,81,0.1,996,8,10,220,20,Wedel
2018-01-02,6,3,0,1.9,1,1,100,06:03 PM,09:34 AM,09:38 AM,05:13 PM,3,1,4,1,19,86,90,0,1004,6,9,229,12,Wedel
2018-01-03,7,4,0,1.9,2,2,89,07:19 PM,10:28 AM,09:38 AM,05:14 PM,3,1,6,1,40,98,83,4.5,984,7,9,222,28,Wedel
2018-01-04,7,5,0,1.9,2,2,81,08:38 PM,11:11 AM,09:37 AM,05:16 PM,4,3,6,3,26,95,88,0.3,990,7,9,232,17,Wedel
2018-01-05,7,4,0,3.9,2,2,74,09:59 PM,11:44 AM,09:37 AM,05:17 PM,3,2,6,2,29,88,85,0.4,992,7,9,229,19,Wedel
2018-01-06,5,1,0,2,1,1,67,11:17 PM,12:11 PM,09:36 AM,05:18 PM,3,1,4,1,17,75,92,0.1,1007,5,8,195,11,Wedel
2018-01-07,2,-2,0,5.8,2,2,59,No moonrise,12:35 PM,09:36 AM,05:20 PM,-2,-2,1,-2,14,13,78,0,1029,2,10,49,10,Wedel
2018-01-08,1,-2,0,5.8,2,2,52,12:32 AM,12:56 PM,09:35 AM,05:21 PM,-9,-5,-1,-5,26,10,53,0,1033,1,10,87,16,Wedel
2018-01-09,3,0,0,5.8,2,2,45,01:44 AM,01:17 PM,09:35 AM,05:23 PM,-7,-4,1,-4,34,27,56,0,1018,3,10,111,21,Wedel
2018-01-10,4,1,0,5.8,1,1,38,02:54 AM,01:39 PM,09:34 AM,05:24 PM,2,0,2,0,15,58,95,0,1011,4,3,133,8,Wedel
2018-01-11,3,0,0,2,1,1,30,04:01 AM,02:02 PM,09:33 AM,05:26 PM,2,0,2,0,12,76,95,1,1017,3,4,54,7,Wedel
2018-01-12,2,1,0,2,1,1,23,05:07 AM,02:28 PM,09:33 AM,05:27 PM,1,-1,2,-1,16,98,91,0,1027,2,8,84,11,Wedel
2018-01-13,2,-1,0,2,1,1,16,06:10 AM,03:00 PM,09:32 AM,05:29 PM,-1,-3,1,-3,22,94,86,0.1,1030,2,10,115,15,Wedel
2018-01-14,1,-2,0,5.8,2,2,9,07:10 AM,03:37 PM,09:31 AM,05:30 PM,-5,-6,-1,-6,24,27,73,0,1026,1,10,123,16,Wedel
2018-01-15,4,-1,0,2,1,1,1,08:03 AM,04:20 PM,09:30 AM,05:32 PM,-3,-4,1,-4,36,62,75,0,1007,4,10,159,23,Wedel
2018-01-16,5,1,0,2,1,1,0,08:51 AM,05:12 PM,09:29 AM,05:34 PM,1,-1,3,-1,27,97,88,1.3,987,5,10,230,18,Wedel
2018-01-17,3,0,0,3.9,2,2,0,09:32 AM,06:09 PM,09:28 AM,05:35 PM,-1,-3,1,-3,28,80,87,0,992,3,10,242,18,Wedel
2018-01-18,2,1,0.1,2,1,1,6,10:06 AM,07:11 PM,09:27 AM,05:37 PM,0,-3,1,-3,27,100,94,1.5,992,2,6,215,17,Wedel
2018-01-19,2,-1,0,2,1,1,13,10:34 AM,08:16 PM,09:26 AM,05:39 PM,0,-3,0,-3,19,77,94,0,1003,2,5,229,11,Wedel
2018-01-20,2,-1,0,2,1,1,20,11:00 AM,09:24 PM,09:25 AM,05:41 PM,0,-3,0,-3,16,91,94,0,1004,2,6,189,10,Wedel
2018-01-21,2,-2,0,5.8,2,2,28,11:22 AM,10:33 PM,09:23 AM,05:43 PM,-1,-1,0,-1,9,40,92,0,1012,2,6,120,5,Wedel
2018-01-22,1,-1,0,2.1,1,1,35,11:43 AM,11:44 PM,09:22 AM,05:44 PM,-1,-3,0,-3,16,94,90,0,1009,1,9,155,10,Wedel
2018-01-23,6,1,0,2.1,1,1,42,12:04 PM,No moonset,09:21 AM,05:46 PM,3,1,4,1,19,96,94,1.6,1017,6,5,196,11,Wedel
2018-01-24,12,8,0,2.1,3,3,49,12:26 PM,12:57 AM,09:19 AM,05:48 PM,8,7,10,7,41,100,87,0,1010,12,10,218,25,Wedel
2018-01-25,10,5,0,2.1,2,2,57,12:50 PM,02:11 AM,09:18 AM,05:50 PM,5,5,7,5,22,87,89,1.2,1010,10,10,218,14,Wedel
2018-01-26,7,3,0,5.8,1,1,64,01:19 PM,03:29 AM,09:16 AM,05:52 PM,4,4,5,4,10,68,95,0.1,1017,7,4,235,6,Wedel
2018-01-27,6,2,0,2.1,1,1,71,01:55 PM,04:46 AM,09:15 AM,05:54 PM,2,1,4,1,22,86,88,0.1,1026,6,6,220,14,Wedel
2018-01-28,10,5,0,2.1,3,3,78,02:41 PM,06:02 AM,09:13 AM,05:56 PM,5,4,7,4,41,84,85,1,1021,10,10,255,26,Wedel
2018-01-29,10,5,0,2.1,2,2,86,03:39 PM,07:12 AM,09:12 AM,05:58 PM,6,5,8,5,43,93,86,0.3,1017,10,10,264,28,Wedel
2018-01-30,6,3,0,2.1,2,2,93,04:48 PM,08:11 AM,09:10 AM,05:59 PM,2,1,4,1,28,76,85,0.1,1023,6,10,257,17,Wedel
2018-01-31,8,2,0,3.3,1,1,97,06:06 PM,09:00 AM,09:09 AM,06:01 PM,3,1,5,1,31,91,88,1.3,1003,8,10,216,19,Wedel
2018-02-01,4,0,0.1,5.1,2,2,88,07:28 PM,09:39 AM,09:07 AM,06:03 PM,0,-3,2,-3,30,57,86,0.1,996,4,10,220,19,Wedel
2018-02-02,4,2,0,3.4,1,1,81,08:49 PM,10:10 AM,09:05 AM,06:05 PM,1,0,3,0,18,98,87,0,1000,4,9,230,12,Wedel
2018-02-03,2,-2,0.2,3.4,1,1,73,10:08 PM,10:36 AM,09:03 AM,06:07 PM,-2,-3,0,-3,13,94,84,0.3,1006,2,9,261,9,Wedel
2018-02-04,2,-2,1,3.4,1,1,66,11:25 PM,10:59 AM,09:02 AM,06:09 PM,-2,-4,0,-4,20,90,90,1.2,1020,2,7,113,13,Wedel
2018-02-05,2,-3,0,9.1,2,2,58,No moonrise,11:21 AM,09:00 AM,06:11 PM,-3,-4,-1,-4,16,65,82,0,1030,2,10,68,11,Wedel
2018-02-06,0,-4,0,9.6,2,2,51,12:37 AM,11:43 AM,08:58 AM,06:13 PM,-6,-4,-2,-4,9,17,71,0,1020,0,10,110,6,Wedel
2018-02-07,-1,-6,0,9.6,2,2,43,01:48 AM,12:06 PM,08:56 AM,06:15 PM,-7,-3,-1,-3,7,4,67,0,1018,-1,10,53,5,Wedel
2018-02-08,0,-6,0,9.6,2,2,36,02:56 AM,12:31 PM,08:54 AM,06:17 PM,-7,-3,-2,-3,7,6,66,0,1021,0,10,174,5,Wedel
2018-02-09,1,-5,0,9.7,2,2,28,04:00 AM,01:01 PM,08:52 AM,06:19 PM,-6,-5,-2,-5,15,10,72,0,1016,1,10,146,10,Wedel
2018-02-10,2,-4,0,8.2,2,2,20,05:01 AM,01:36 PM,08:50 AM,06:21 PM,-4,-3,-1,-3,11,46,81,0,1014,2,9,179,7,Wedel
2018-02-11,4,0,0,8.2,1,1,13,05:57 AM,02:17 PM,08:48 AM,06:23 PM,-1,-4,1,-4,33,58,89,0,1000,4,9,194,20,Wedel
2018-02-12,3,-1,0,6.6,2,2,5,06:47 AM,03:05 PM,08:46 AM,06:25 PM,-1,-4,1,-4,30,70,87,0,1007,3,10,237,18,Wedel
2018-02-13,4,-2,0,9.8,2,2,0,07:30 AM,04:00 PM,08:44 AM,06:27 PM,-2,-3,1,-3,18,26,86,0,1014,4,8,186,11,Wedel
2018-02-14,4,-3,0,9.9,2,2,0,08:07 AM,05:01 PM,08:42 AM,06:29 PM,-4,-3,1,-3,20,11,72,0,1018,4,10,144,13,Wedel
